NBFC Name,Regional Office,CoR for Public Deposits,Classification-Detailed,Classification-Abbreviated,CIN,Layer,Listing Status,Industry Segment,Year of Incorporation,Incorporation Type-Abbr,Incorporation Type,,AUM (Rs Cr.),State,Region,Entity_Type,Left_Blank,Size_category,Target_Segment
Deutsche Investments India Pvt. Ltd.,Mumbai,No,Investment and Credit Company,ICC,U65923MH2005PTC153486,Middle,U,Activities of commercial loan companies.,2005,PTC, Private Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Devakar Investment & Trading Co.(P) Ltd.,Chandigarh,No,Investment and Credit Company,ICC,U67120PB1980PTC022317,Middle,U,Activity of stock brokers,1980,PTC, Private Limited Company,,851.844,Maharashtra,West,NBFC,,Medium,No
Dewan Motors Investment & Finance Ltd.,New Delhi,No,Investment and Credit Company,ICC,U67120DL1983PLC016016,Middle,U,Activity of stock brokers,1983,PLC, Public Limited Company,,,Telangana,South,NBFC,,Medium,No
Dhani Loans and Services Limited,New Delhi,No,Investment and Credit Company,ICC,U74899DL1994PLC062407,Middle,U,,1994,PLC, Public Limited Company,,747.042,Delhi,North,NBFC,,Medium,No
Dharmayug Investments Limited,Mumbai,No,Investment and Credit Company,ICC,U65993MH1983PLC030615,Middle,U,Investment activity of ICICI etc. i.e. accepting funds from pubic in different investment plans like flexi bonds etc.,1983,PLC, Public Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Dhruvi Securities Limited,Bengaluru,No,Investment and Credit Company,ICC,U65900KA2007PLC050828,Middle,U,,2007,PLC, Public Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Dhunseri Investments Limited,Kolkata,No,Investment and Credit Company,ICC,L15491WB1997PLC082808,Middle,L,"Instant tea, manufacturing",1997,PLC, Public Limited Company,,,West Bengal,East,NBFC,,Medium,No
Didu Investments Pvt Ltd,Kolkata,No,Investment and Credit Company,ICC,U67120WB1992PTC056731,Middle,U,Activity of stock brokers,1992,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Medium,No
Digamber Capfin Ltd.,Jaipur,No,Micro Finance Institution,MFI,U67120RJ1995PLC009862,Middle,U,Activity of stock brokers,1995,PLC, Public Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Digvijay Finlease Ltd,Kolkata,No,Investment and Credit Company,ICC,U67120WB2001PLC093899,Middle,U,Activity of stock brokers,2001,PLC, Public Limited Company,,,Chandigarh,North,NBFC,,Medium,No
